,Name,Age:,Hair Color:,Fake Boobs:,Piercings:,Background:,Height,Weight
0,"""Lana Rhoades"" ",23.0,Brunette,No,No,American,165.0,52.0
1,"""Mia Khalifa"" ",31.12728719172633,Other,No,No,Other,157.0,55.0
2,"""Riley Reid"" ",28.0,Blonde,No,No,American,163.0,49.0
3,"""Abella Danger"" ",18.0,Brunette,No,No,American,163.0,59.0
4,"""Maitland Ward"" ",31.12728719172633,Other,No,No,Other,178.0,59.0
5,"""Mia Malkova"" ",27.0,Blonde,No,No,American,173.0,54.0
6,"""Adriana Chechik"" ",27.0,Brunette,No,No,American,157.0,50.0
7,"""Jessica Jaymes"" ",31.12728719172633,Other,No,No,Other,163.0,53.0
8,"""Brandi Love"" ",46.0,Blonde,Yes,Yes,American,170.0,57.0
9,"""Nicole Aniston"" ",32.0,Blonde,Yes,Yes,American,160.0,61.0
10,"""Leolulu"" ",22.0,Blonde,No,Yes,French,170.0,52.0
11,"""Lela Star"" ",34.0,Brunette,Yes,Yes,Cuban,155.0,50.0
12,"""Angela White"" ",34.0,Brunette,No,No,Australian,160.0,59.0
13,"""Alexis Texas"" ",34.0,Blonde,No,Yes,American,173.0,59.0
14,"""Lena Paul"" ",26.0,Blonde,No,Yes,Cherokee,163.0,58.0
15,"""Ava Addams"" ",40.0,Brunette,Yes,No,French,160.0,48.0
16,"""Lisa Ann"" ",47.0,Brunette,Yes,Yes,Italian,157.0,50.0
17,"""Kimmy Granger"" ",31.12728719172633,Other,No,No,Other,155.0,45.0
18,"""Dillion Harper"" ",28.0,Black,No,No,American,165.0,52.0
19,"""Kendra Lust"" ",31.12728719172633,Other,No,No,Other,163.0,55.0
20,"""Dani Daniels"" ",30.0,Brunette,No,No,Czech,170.0,59.0
21,"""Elsa Jean"" ",23.0,Blonde,No,No,American,160.0,45.0
22,"""Xev Bellringer"" ",31.0,Blonde,No,Yes,American,165.0,70.0
23,"""Sara Jay"" ",41.0,Blonde,Yes,Yes,American,163.0,64.0
24,"""Alexis Fawx"" ",44.0,Black,Yes,Yes,American,163.0,49.0
25,"""Asa Akira"" ",34.0,Black,Yes,No,Japanese,157.0,48.0
26,"""Lena The Plug"" ",28.0,Brunette,Yes,Yes,Armenian,157.0,58.0
27,"""Sarah Banks"" ",22.0,Black,Yes,Yes,American,152.0,54.0
28,"""Madison Ivy"" ",31.12728719172633,Other,No,No,Other,150.0,40.0
29,"""Jessa Rhodes"" ",31.12728719172633,Other,No,No,Other,168.0,55.0
30,"""Kim Kardashian"" ",31.12728719172633,Other,No,No,Other,160.0,52.0
31,"""Piper Perri"" ",31.12728719172633,Other,No,No,Other,147.0,37.0
32,"""Cherie DeVille"" ",41.0,Blonde,Yes,No,American,165.0,55.0
33,"""Bridgette B"" ",31.12728719172633,Other,No,No,Other,173.0,59.0
34,"""Danika Mori"" ",25.0,Brunette,No,No,Other,155.0,40.0
35,"""Eva Lovia"" ",30.0,Brunette,No,Yes,Japanese,160.0,52.0
36,"""Tori Black"" ",31.12728719172633,Other,No,No,Other,175.0,64.0
37,"""Emily Willis"" ",20.0,Brunette,No,No,American,165.0,50.0
38,"""Karma Rx"" ",26.0,Blonde,Yes,Yes,American,163.0,50.0
39,"""Janice Griffith"" ",24.0,Brunette,No,Yes,American,157.0,43.0
40,"""Valentina Nappi"" ",28.0,Brunette,No,Yes,Italian,165.0,57.0
