Name,Age:,Hair Color:,Fake Boobs:,Piercings:,Background:,Rank,Height,Weight
"""Lana Rhoades"" ",23.0,Brunette,No,No,American,1,165.0,52.0
"""Mia Khalifa"" ",31.12728719172633,Other,No,No,Other,2,157.0,55.0
"""Riley Reid"" ",28.0,Blonde,No,No,American,3,163.0,49.0
"""Abella Danger"" ",18.0,Brunette,No,No,American,4,163.0,59.0
"""Maitland Ward"" ",31.12728719172633,Other,No,No,Other,5,178.0,59.0
"""Mia Malkova"" ",27.0,Blonde,No,No,American,7,173.0,54.0
"""Adriana Chechik"" ",27.0,Brunette,No,No,American,8,157.0,50.0
"""Jessica Jaymes"" ",31.12728719172633,Other,No,No,Other,9,163.0,53.0
"""Brandi Love"" ",46.0,Blonde,Yes,Yes,American,10,170.0,57.0
"""Nicole Aniston"" ",32.0,Blonde,Yes,Yes,American,11,160.0,61.0
"""Leolulu"" ",22.0,Blonde,No,Yes,French,12,170.0,52.0
"""Lela Star"" ",34.0,Brunette,Yes,Yes,Cuban,13,155.0,50.0
"""Angela White"" ",34.0,Brunette,No,No,Australian,14,160.0,59.0
"""Alexis Texas"" ",34.0,Blonde,No,Yes,American,15,173.0,59.0
"""Lena Paul"" ",26.0,Blonde,No,Yes,Cherokee,16,163.0,58.0
"""Ava Addams"" ",40.0,Brunette,Yes,No,French,17,160.0,48.0
"""Lisa Ann"" ",47.0,Brunette,Yes,Yes,Italian,18,157.0,50.0
"""Kimmy Granger"" ",31.12728719172633,Other,No,No,Other,19,155.0,45.0
"""Dillion Harper"" ",28.0,Black,No,No,American,20,165.0,52.0
"""Kendra Lust"" ",31.12728719172633,Other,No,No,Other,21,163.0,55.0
"""Dani Daniels"" ",30.0,Brunette,No,No,Czech,22,170.0,59.0
"""Elsa Jean"" ",23.0,Blonde,No,No,American,23,160.0,45.0
"""Xev Bellringer"" ",31.0,Blonde,No,Yes,American,24,165.0,70.0
"""Sara Jay"" ",41.0,Blonde,Yes,Yes,American,25,163.0,64.0
"""Alexis Fawx"" ",44.0,Black,Yes,Yes,American,26,163.0,49.0
"""Asa Akira"" ",34.0,Black,Yes,No,Japanese,27,157.0,48.0
"""Lena The Plug"" ",28.0,Brunette,Yes,Yes,Armenian,28,157.0,58.0
"""Sarah Banks"" ",22.0,Black,Yes,Yes,American,29,152.0,54.0
"""Madison Ivy"" ",31.12728719172633,Other,No,No,Other,30,150.0,40.0
"""Jessa Rhodes"" ",31.12728719172633,Other,No,No,Other,31,168.0,55.0
"""Kim Kardashian"" ",31.12728719172633,Other,No,No,Other,32,160.0,52.0
"""Piper Perri"" ",31.12728719172633,Other,No,No,Other,33,147.0,37.0
"""Cherie DeVille"" ",41.0,Blonde,Yes,No,American,34,165.0,55.0
"""Bridgette B"" ",31.12728719172633,Other,No,No,Other,35,173.0,59.0
"""Danika Mori"" ",25.0,Brunette,No,No,Other,36,155.0,40.0
"""Eva Lovia"" ",30.0,Brunette,No,Yes,Japanese,37,160.0,52.0
"""Tori Black"" ",31.12728719172633,Other,No,No,Other,38,175.0,64.0
"""Emily Willis"" ",20.0,Brunette,No,No,American,39,165.0,50.0
"""Karma Rx"" ",26.0,Blonde,Yes,Yes,American,40,163.0,50.0
"""Janice Griffith"" ",24.0,Brunette,No,Yes,American,41,157.0,43.0
"""Valentina Nappi"" ",28.0,Brunette,No,Yes,Italian,42,165.0,57.0
"""Peta Jensen"" ",31.12728719172633,Other,No,No,Other,43,170.0,56.0
"""August Ames"" ",31.12728719172633,Other,No,No,Other,44,168.0,52.0
"""Sasha Grey"" ",31.12728719172633,Other,No,No,Other,45,168.0,50.0
"""Leah Gotti"" ",31.12728719172633,Other,No,No,Other,46,157.0,55.0
"""Nicolette Shea"" ",32.0,Blonde,Yes,No,American,47,180.0,61.0
"""Cory Chase"" ",38.0,Blonde,Yes,Yes,American,48,165.0,60.0
"""Victoria Cakes"" ",31.12728719172633,Other,No,No,Other,49,173.0,77.0
"""Autumn Falls"" ",31.12728719172633,Other,No,No,Other,51,160.0,57.0
"""Rae Lil Black"" ",23.0,Black,No,Yes,Japanese,52,145.0,44.0
"""Mandy Muse"" ",31.12728719172633,Other,No,No,Other,53,160.0,55.0
"""Mandy Flores"" ",30.0,Brunette,Yes,No,American,55,163.0,53.0
